group	x	y	showSelected1
1	1230	24	25
1	1230	24	64
1	1230	24	46
1	1230	24	27
1	1230	24	66
1	1230	24	33
1	1230	24	83
1	1230	24	7
2	1280	24	66
2	1280	24	27
2	1280	24	23
2	1280	24	67
2	1280	24	47
2	1280	24	44
2	1280	24	15
2	1280	24	52
2	1280	24	37
2	1280	24	80
2	1280	24	69
2	1280	24	33
2	1280	24	8
2	1280	24	59
2	1280	24	16
2	1280	24	43
2	1280	24	7
2	1280	24	83
2	1280	24	25
2	1280	24	77
2	1280	24	9
2	1280	24	51
2	1280	24	48
2	1280	24	21
2	1280	24	29
2	1280	24	76
2	1280	24	17
2	1280	24	2
2	1280	24	53
2	1280	24	70
2	1280	24	68
2	1280	24	62
2	1280	24	74
2	1280	24	54
2	1280	24	4
2	1280	24	1
2	1280	24	26
2	1280	24	42
2	1280	24	73
2	1280	24	39
2	1280	24	5
3	1280	74	80
3	1280	74	37
3	1280	74	56
3	1280	74	72
3	1280	74	75
5	1330	74	37
5	1330	74	10
5	1330	74	6
5	1330	74	75
5	1330	74	32
5	1330	74	61
4	1330	24	37
4	1330	24	32
4	1330	24	15
4	1330	24	76
4	1330	24	71
4	1330	24	85
4	1330	24	1
4	1330	24	41
4	1330	24	57
4	1330	24	38
4	1330	24	19
4	1330	24	61
4	1330	24	4
4	1330	24	42
4	1330	24	11
4	1330	24	5
4	1330	24	39
4	1330	24	36
4	1330	24	73
4	1330	24	65
4	1330	24	63
4	1330	24	3
4	1330	24	45
4	1330	24	86
4	1330	24	18
4	1330	24	31
4	1330	24	55
4	1330	24	14
4	1330	24	82
4	1330	24	28
4	1330	24	84
4	1330	24	79
4	1330	24	20
4	1330	24	12
4	1330	24	81
4	1330	24	34
4	1330	24	13
4	1330	24	40
4	1330	24	78
4	1330	24	49
6	1380	24	19
6	1380	24	31
6	1380	24	79
6	1380	24	14
6	1380	24	50
6	1380	24	24
6	1380	24	81
6	1380	24	78
6	1380	24	40
6	1380	24	34
6	1380	24	22
6	1380	24	49
6	1380	24	60
6	1380	24	58
6	1380	24	30
6	1380	24	35
