group	fill	clickSelects
2	#FAD4E0	73
3	#FFFFFF	26
4	#FFFFFF	53
5	#FFFFFF	53
6	#FFFFFF	53
7	#FFFCFD	15
8	#FFFCFD	15
9	#FFFCFD	15
10	#FFFCFD	15
11	#FFFCFD	15
12	#FFFCFD	15
13	#FFFCFD	15
14	#FFFFFF	26
15	#FFFCFD	15
16	#FFFCFD	15
17	#FFFCFD	15
18	#FFFCFD	15
19	#FFFCFD	15
20	#FFFFFF	77
21	#FFFFFF	77
22	#FFFFFF	77
23	#FFFCFD	15
24	#FFFFFF	77
25	#FFFFFF	26
26	#FFFCFD	15
27	#FFFFFF	77
28	#FFFCFD	15
29	#FFFFFF	77
30	#FFFCFD	15
31	#FFFCFD	15
32	#FFFCFD	15
33	#FFFCFD	15
34	#FFFCFD	15
35	#FFFCFD	15
36	#FFFFFF	4
37	#FFFCFD	15
38	#FFFFFF	37
39	#FFFFFF	37
40	#FFFFFF	37
41	#FFFFFF	37
42	#FFFFFF	37
43	#FFFFFF	37
44	#FFFFFF	37
45	#FFFFFF	37
46	#FFFFFF	54
47	#FFFFFF	21
48	#FFFFFF	21
49	#FFFFFF	21
50	#FFFCFD	15
51	#FAD4E0	73
52	#FAD4E0	73
53	#FFFFFF	53
54	#FFFFFF	53
55	#FFFFFF	53
56	#FFFFFF	53
57	#FFFCFD	15
58	#FFFCFD	15
59	#FFFCFD	15
60	#FFFCFD	15
61	#FFFCFD	15
62	#FFFCFD	15
63	#FFFFFF	26
64	#FFFCFD	15
65	#FFFCFD	15
66	#FFFCFD	15
67	#FFFCFD	15
68	#FFFCFD	15
69	#FFFCFD	15
70	#FFFFFF	77
71	#FFFFFF	77
72	#FFFCFD	15
73	#FFFFFF	77
74	#FFFFFF	26
75	#FFFFFF	77
76	#FFFFFF	77
77	#FFFFFF	77
78	#FFFFFF	77
79	#FFFFFF	77
80	#FFFCFD	15
81	#FFFCFD	15
82	#FFFCFD	15
83	#FFFCFD	15
