group	x	y	clickSelects	showSelected1
24	-14.25	-0.25	25	1250,0
24	-14.25	0.25	25	1250,0
24	-13.25	1.25	25	1250,0
24	-12.75	1.25	25	1250,0
24	-12.25	0.75	25	1250,0
24	-11.75	0.75	25	1250,0
24	-11.25	1.25	25	1250,0
24	-10.75	1.25	25	1250,0
24	-10.25	0.75	25	1250,0
24	-7.75	0.75	25	1250,0
24	-7.25	1.25	25	1250,0
24	-6.75	1.25	25	1250,0
24	-6.25	0.75	25	1250,0
24	-5.75	0.75	25	1250,0
24	-5.25	1.25	25	1250,0
24	-4.75	1.25	25	1250,0
24	-4.25	0.75	25	1250,0
24	4.75	0.75	25	1250,0
24	4.75	0.25	25	1250,0
24	4.25	-0.25	25	1250,0
24	-14.25	-0.25	25	1250,0
24	-45.25	-0.25	25	1300,0
24	-45.25	0.25	25	1300,0
24	-44.75	0.75	25	1300,0
24	-34.25	0.75	25	1300,0
24	-33.75	0.25	25	1300,0
24	-33.75	-0.25	25	1300,0
24	-45.25	-0.25	25	1300,0
99	-12.75	1.25	64	1250,0
99	-12.75	1.75	64	1250,0
99	-11.25	3.25	64	1250,0
99	-10.75	3.25	64	1250,0
99	-10.25	2.75	64	1250,0
99	-8.25	2.75	64	1250,0
99	-7.25	1.75	64	1250,0
99	-7.25	1.25	64	1250,0
99	-7.75	0.75	64	1250,0
99	-10.25	0.75	64	1250,0
99	-10.75	1.25	64	1250,0
99	-11.25	1.25	64	1250,0
99	-11.75	0.75	64	1250,0
99	-12.25	0.75	64	1250,0
99	-12.75	1.25	64	1250,0
64	-10.75	3.25	46	1250,0
64	-10.75	3.75	46	1250,0
64	-2.25	12.25	46	1250,0
64	-1.75	12.25	46	1250,0
64	-0.75	11.25	46	1250,0
64	-0.75	10.75	46	1250,0
64	-8.75	2.75	46	1250,0
64	-10.25	2.75	46	1250,0
64	-10.75	3.25	46	1250,0
26	-1.75	12.25	27	1250,0
26	-1.75	12.75	27	1250,0
26	0.75	15.25	27	1250,0
26	1.25	15.25	27	1250,0
