group	label	showSelected1
1	Cluster 1: 4/110 pixels shown, logFC -1.5 to 1.1, log10(p) 0.0 to 1.7	1
1	Cluster 2: 100/100 pixels shown, logFC 0.9 to 1.6, log10(p) 4.8 to 42.3	2
1	Cluster 4: 27/45 pixels shown, logFC -2.9 to 3.5, log10(p) 0.1 to 1.8	4
1	Cluster 5: 2/464 pixels shown, logFC -0.4 to 0.3, log10(p) 0.0 to 2.7	5
1	Cluster 7: 138/204 pixels shown, logFC -0.1 to 0.1, log10(p) 0.0 to 1.2	7
1	Cluster 8: 342/342 pixels shown, logFC -0.3 to 1.4, log10(p) 0.0 to 37.8	8
1	Cluster 9: 146/146 pixels shown, logFC -0.0 to 1.4, log10(p) 0.0 to 52.3	9
1	Cluster 15: 1218/1605 pixels shown, logFC -0.5 to 1.6, log10(p) 0.0 to 24.5	15
1	Cluster 16: 73/73 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 1.8	16
1	Cluster 17: 155/155 pixels shown, logFC 1.0 to 1.4, log10(p) 19.0 to 41.7	17
1	Cluster 21: 192/192 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 2.4	21
1	Cluster 23: 87/87 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 2.0	23
1	Cluster 25: 23/65 pixels shown, logFC -0.1 to 0.0, log10(p) 0.0 to 1.3	25
1	Cluster 26: 18/18 pixels shown, logFC -0.5 to 0.3, log10(p) 0.0 to 2.1	26
1	Cluster 27: 88/222 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 2.3	27
1	Cluster 29: 49/49 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 2.2	29
1	Cluster 33: 258/260 pixels shown, logFC -0.2 to 0.1, log10(p) 0.0 to 1.6	33
1	Cluster 37: 356/1905 pixels shown, logFC -0.6 to 0.5, log10(p) 0.0 to 3.8	37
1	Cluster 39: 32/107 pixels shown, logFC -0.2 to 0.2, log10(p) 0.0 to 1.7	39
1	Cluster 42: 10/93 pixels shown, logFC -0.8 to 0.7, log10(p) 0.0 to 1.8	42
1	Cluster 43: 50/50 pixels shown, logFC -0.6 to 0.4, log10(p) 0.0 to 2.4	43
1	Cluster 44: 52/52 pixels shown, logFC -0.4 to 0.4, log10(p) 0.0 to 1.3	44
1	Cluster 47: 76/76 pixels shown, logFC -1.0 to 1.8, log10(p) 0.0 to 1.4	47
1	Cluster 48: 37/37 pixels shown, logFC -0.4 to 1.9, log10(p) 0.2 to 14.2	48
1	Cluster 51: 35/35 pixels shown, logFC -0.0 to 1.3, log10(p) 0.0 to 56.6	51
1	Cluster 52: 59/59 pixels shown, logFC -0.4 to 0.5, log10(p) 0.0 to 1.0	52
1	Cluster 53: 41/41 pixels shown, logFC -0.5 to 0.3, log10(p) 0.0 to 1.8	53
1	Cluster 54: 8/8 pixels shown, logFC -0.1 to 0.2, log10(p) 0.0 to 0.6	54
1	Cluster 59: 13/13 pixels shown, logFC -2.1 to 2.6, log10(p) 0.1 to 0.6	59
1	Cluster 62: 9/9 pixels shown, logFC 1.3 to 1.4, log10(p) 35.6 to 44.8	62
1	Cluster 66: 17/35 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 1.2	66
1	Cluster 67: 6/6 pixels shown, logFC -1.6 to 0.5, log10(p) 0.0 to 0.6	67
1	Cluster 68: 15/15 pixels shown, logFC 1.3 to 1.3, log10(p) 50.9 to 56.0	68
1	Cluster 69: 77/77 pixels shown, logFC -0.6 to 0.5, log10(p) 0.0 to 2.9	69
1	Cluster 70: 3/3 pixels shown, logFC 1.3 to 1.3, log10(p) 53.4 to 56.2	70
1	Cluster 73: 20/28 pixels shown, logFC -0.1 to 1.3, log10(p) 0.0 to 56.6	73
1	Cluster 74: 8/8 pixels shown, logFC -0.2 to 0.6, log10(p) 0.0 to 1.6	74
1	Cluster 76: 30/48 pixels shown, logFC -0.4 to 0.4, log10(p) 0.0 to 1.9	76
1	Cluster 77: 138/138 pixels shown, logFC -0.3 to 0.4, log10(p) 0.0 to 2.5	77
1	Cluster 80: 11/17 pixels shown, logFC -0.1 to 0.1, log10(p) 0.0 to 0.8	80
1	Cluster 83: 24/69 pixels shown, logFC -0.1 to 0.1, log10(p) 0.0 to 0.9	83
